invoice_date,client_id,products,total_amount,invoice_number
"43464,5013888889",114,"[{'product_id': 1590, 'quantity': 3, 'price': 25.78}, {'product_id': 1838, 'quantity': 2, 'price': 336.15}, {'product_id': 731, 'quantity': 4, 'price': 34.29}]","886,8",FAC/2018/0045
"43464,5875",700,"[{'product_id': 816, 'quantity': 3, 'price': 162.26}, {'product_id': 1626, 'quantity': 2, 'price': 35.86}, {'product_id': 1855, 'quantity': 1, 'price': 16.22}]","574,72",FAC/2018/0046
"43464,7416666667",469,"[{'product_id': 1887, 'quantity': 3, 'price': 9.75}, {'product_id': 390, 'quantity': 3, 'price': 33.58}, {'product_id': 336, 'quantity': 4, 'price': 30.05}, {'product_id': 76, 'quantity': 1, 'price': 19.6}]","269,79",FAC/2018/0047
"43465,0284722222",668,"[{'product_id': 331, 'quantity': 3, 'price': 58.65}, {'product_id': 1305, 'quantity': 4, 'price': 3.95}, {'product_id': 178, 'quantity': 2, 'price': 229.43}]","650,61",FAC/2018/0048
"43466,6291666667",642,"[{'product_id': 1446, 'quantity': 2, 'price': 478.04}, {'product_id': 1001, 'quantity': 3, 'price': 12.08}, {'product_id': 1565, 'quantity': 4, 'price': 10.9}, {'product_id': 1535, 'quantity': 2, 'price': 0.1}]","1036,12",FAC/2019/0001
"43466,8541666667",258,"[{'product_id': 1159, 'quantity': 2, 'price': 11.38}, {'product_id': 1981, 'quantity': 3, 'price': 33.8}]","124,16",FAC/2019/0002
"43467,2868055556",984,"[{'product_id': 1873, 'quantity': 3, 'price': 12.21}, {'product_id': 1432, 'quantity': 1, 'price': 39.72}]","76,35",FAC/2019/0003
"43467,3104166667",330,"[{'product_id': 1296, 'quantity': 1, 'price': 12.84}]","12,84",FAC/2019/0004
"43468,175",411,"[{'product_id': 1365, 'quantity': 2, 'price': 0.1}, {'product_id': 1182, 'quantity': 4, 'price': 7.24}, {'product_id': 661, 'quantity': 2, 'price': 29.26}, {'product_id': 960, 'quantity': 2, 'price': 13.84}]","115,36",FAC/2019/0005
"43468,9597222222",872,"[{'product_id': 78, 'quantity': 3, 'price': 71.83}, {'product_id': 238, 'quantity': 2, 'price': 26.74}, {'product_id': 598, 'quantity': 2, 'price': 1.6}, {'product_id': 1823, 'quantity': 2, 'price': 13.94}, {'product_id': 620, 'quantity': 2, 'price': 28.96}]","357,97",FAC/2019/0006
"43469,5729166667",795,"[{'product_id': 1224, 'quantity': 1, 'price': 23.12}]","23,12",FAC/2019/0007
"43469,5930555556",860,"[{'product_id': 1882, 'quantity': 1, 'price': 131.5}, {'product_id': 1004, 'quantity': 3, 'price': 63.61}, {'product_id': 48, 'quantity': 3, 'price': 31.02}, {'product_id': 1798, 'quantity': 3, 'price': 287.99}]","1279,36",FAC/2019/0008
"43469,6527777778",946,"[{'product_id': 1745, 'quantity': 3, 'price': 128.03}]","384,09",FAC/2019/0009
"43469,9895833333",427,"[{'product_id': 1558, 'quantity': 1, 'price': 14.69}, {'product_id': 749, 'quantity': 1, 'price': 12.85}, {'product_id': 674, 'quantity': 4, 'price': 7.55}, {'product_id': 970, 'quantity': 2, 'price': 26.67}, {'product_id': 94, 'quantity': 3, 'price': 12.5}]","148,58",FAC/2019/0010
"43470,375",917,"[{'product_id': 1146, 'quantity': 1, 'price': 34.12}, {'product_id': 172, 'quantity': 1, 'price': 27.51}, {'product_id': 145, 'quantity': 2, 'price': 16.92}, {'product_id': 621, 'quantity': 3, 'price': 32.49}, {'product_id': 67, 'quantity': 3, 'price': 32.22}]","289,6",FAC/2019/0011
"43471,0895833333",956,"[{'product_id': 1358, 'quantity': 2, 'price': 27.9}, {'product_id': 1186, 'quantity': 1, 'price': 0.1}, {'product_id': 1183, 'quantity': 2, 'price': 58.01}, {'product_id': 1081, 'quantity': 4, 'price': 6.5}]","197,92",FAC/2019/0012
"43471,5701388889",711,"[{'product_id': 1754, 'quantity': 4, 'price': 37.51}]","150,04",FAC/2019/0013
"43472,1305555556",745,"[{'product_id': 1174, 'quantity': 2, 'price': 23.33}, {'product_id': 566, 'quantity': 3, 'price': 626.86}, {'product_id': 434, 'quantity': 2, 'price': 24.76}, {'product_id': 1049, 'quantity': 4, 'price': 28.01}]","2088,8",FAC/2019/0014
"43472,2270833333",27,"[{'product_id': 1340, 'quantity': 4, 'price': 14.49}, {'product_id': 1407, 'quantity': 1, 'price': 21.04}]",79,FAC/2019/0015
"43473,9569444444",371,"[{'product_id': 1397, 'quantity': 2, 'price': 14.63}, {'product_id': 1875, 'quantity': 1, 'price': 118.26}]","147,52",FAC/2019/0016
"43474,0673611111",935,"[{'product_id': 365, 'quantity': 1, 'price': 13.43}]","13,43",FAC/2019/0017
"43474,9701388889",350,"[{'product_id': 1523, 'quantity': 3, 'price': 49.16}, {'product_id': 1810, 'quantity': 1, 'price': 2.37}]","149,85",FAC/2019/0018
"43474,9902777778",770,"[{'product_id': 1661, 'quantity': 2, 'price': 356.35}, {'product_id': 826, 'quantity': 2, 'price': 79.64}, {'product_id': 960, 'quantity': 1, 'price': 13.84}]","885,82",FAC/2019/0019
"43475,7180555556",220,"[{'product_id': 1625, 'quantity': 2, 'price': 8.81}, {'product_id': 1376, 'quantity': 1, 'price': 9.69}, {'product_id': 464, 'quantity': 3, 'price': 54.1}, {'product_id': 1914, 'quantity': 2, 'price': 0.1}, {'product_id': 902, 'quantity': 4, 'price': 28.01}]","301,85",FAC/2019/0020
"43476,5416666667",549,"[{'product_id': 55, 'quantity': 2, 'price': 6.49}, {'product_id': 974, 'quantity': 3, 'price': 39.36}, {'product_id': 479, 'quantity': 3, 'price': 76.17}, {'product_id': 499, 'quantity': 4, 'price': 453.82}, {'product_id': 299, 'quantity': 2, 'price': 67.14}]","2309,13",FAC/2019/0021
"43476,5951388889",689,"[{'product_id': 85, 'quantity': 3, 'price': 7.51}, {'product_id': 1869, 'quantity': 4, 'price': 91.85}, {'product_id': 593, 'quantity': 2, 'price': 31.56}, {'product_id': 758, 'quantity': 1, 'price': 13.8}, {'product_id': 91, 'quantity': 2, 'price': 8.71}]","484,27",FAC/2019/0022
"43477,7527777778",530,"[{'product_id': 502, 'quantity': 1, 'price': 14.37}]","14,37",FAC/2019/0023
"43478,0222222222",617,"[{'product_id': 1691, 'quantity': 1, 'price': 329.74}, {'product_id': 1471, 'quantity': 1, 'price': 11.82}, {'product_id': 261, 'quantity': 1, 'price': 539.13}, {'product_id': 734, 'quantity': 2, 'price': 15.63}]","911,95",FAC/2019/0024
"43478,0611111111",376,"[{'product_id': 1950, 'quantity': 3, 'price': 23.0}, {'product_id': 1565, 'quantity': 3, 'price': 10.9}, {'product_id': 273, 'quantity': 2, 'price': 796.22}, {'product_id': 966, 'quantity': 3, 'price': 123.39}, {'product_id': 1662, 'quantity': 4, 'price': 9.72}]","2103,19",FAC/2019/0025
"43478,3",236,"[{'product_id': 1369, 'quantity': 4, 'price': 168.4}, {'product_id': 1541, 'quantity': 1, 'price': 14.28}, {'product_id': 1036, 'quantity': 4, 'price': 29.09}, {'product_id': 1817, 'quantity': 2, 'price': 5.33}, {'product_id': 774, 'quantity': 3, 'price': 24.77}]","889,21",FAC/2019/0026
"43478,8840277778",116,"[{'product_id': 79, 'quantity': 4, 'price': 12.29}, {'product_id': 824, 'quantity': 3, 'price': 201.5}, {'product_id': 760, 'quantity': 4, 'price': 13.13}]","706,18",FAC/2019/0027
"43479,2138888889",786,"[{'product_id': 456, 'quantity': 2, 'price': 0.1}, {'product_id': 1567, 'quantity': 4, 'price': 2.33}, {'product_id': 872, 'quantity': 2, 'price': 18.12}, {'product_id': 1012, 'quantity': 3, 'price': 11.22}]","79,42",FAC/2019/0028
"43479,3277777778",987,"[{'product_id': 1863, 'quantity': 2, 'price': 20.29}, {'product_id': 887, 'quantity': 4, 'price': 249.06}]","1036,82",FAC/2019/0029
"43480,4770833333",323,"[{'product_id': 260, 'quantity': 1, 'price': 40.66}, {'product_id': 846, 'quantity': 1, 'price': 388.06}, {'product_id': 893, 'quantity': 1, 'price': 6.78}, {'product_id': 1862, 'quantity': 4, 'price': 44.41}, {'product_id': 47, 'quantity': 1, 'price': 23.66}]","636,8",FAC/2019/0030
"43481,1166666667",727,"[{'product_id': 553, 'quantity': 2, 'price': 12.95}, {'product_id': 632, 'quantity': 4, 'price': 0.1}, {'product_id': 379, 'quantity': 2, 'price': 7.95}, {'product_id': 1030, 'quantity': 1, 'price': 46.4}]","88,6",FAC/2019/0031
"43481,4847222222",258,"[{'product_id': 757, 'quantity': 1, 'price': 0.1}, {'product_id': 464, 'quantity': 2, 'price': 54.1}, {'product_id': 1007, 'quantity': 3, 'price': 26.45}, {'product_id': 805, 'quantity': 2, 'price': 287.28}, {'product_id': 519, 'quantity': 2, 'price': 11.92}]","786,05",FAC/2019/0032
"43481,7784722222",867,"[{'product_id': 428, 'quantity': 4, 'price': 14.98}, {'product_id': 944, 'quantity': 3, 'price': 178.86}, {'product_id': 1752, 'quantity': 4, 'price': 103.57}, {'product_id': 426, 'quantity': 2, 'price': 58.6}]","1127,98",FAC/2019/0033
"43482,0805555556",322,"[{'product_id': 1788, 'quantity': 1, 'price': 3.56}, {'product_id': 865, 'quantity': 3, 'price': 137.56}]","416,24",FAC/2019/0034
"43482,2395833333",191,"[{'product_id': 664, 'quantity': 4, 'price': 15.86}, {'product_id': 89, 'quantity': 2, 'price': 5.52}, {'product_id': 476, 'quantity': 2, 'price': 38.15}]","150,78",FAC/2019/0035
"43482,2868055556",754,"[{'product_id': 1598, 'quantity': 1, 'price': 24.85}]","24,85",FAC/2019/0036
"43482,5506944444",579,"[{'product_id': 194, 'quantity': 4, 'price': 133.41}, {'product_id': 611, 'quantity': 3, 'price': 493.06}, {'product_id': 1626, 'quantity': 3, 'price': 35.86}, {'product_id': 98, 'quantity': 2, 'price': 26.68}]","2173,76",FAC/2019/0037
"43483,0222222222",508,"[{'product_id': 151, 'quantity': 2, 'price': 18.25}, {'product_id': 1146, 'quantity': 1, 'price': 34.12}, {'product_id': 1872, 'quantity': 4, 'price': 70.07}, {'product_id': 73, 'quantity': 4, 'price': 595.53}, {'product_id': 1862, 'quantity': 4, 'price': 44.41}]","2910,66",FAC/2019/0038
"43483,4333333333",531,"[{'product_id': 704, 'quantity': 3, 'price': 189.9}, {'product_id': 382, 'quantity': 1, 'price': 25.44}, {'product_id': 738, 'quantity': 4, 'price': 28.1}]","707,54",FAC/2019/0039
"43484,9354166667",454,"[{'product_id': 1089, 'quantity': 4, 'price': 21.38}, {'product_id': 1691, 'quantity': 1, 'price': 329.74}, {'product_id': 939, 'quantity': 1, 'price': 20.55}, {'product_id': 1149, 'quantity': 2, 'price': 31.21}, {'product_id': 519, 'quantity': 1, 'price': 11.92}]","510,15",FAC/2019/0040
"43485,4041666667",783,"[{'product_id': 640, 'quantity': 1, 'price': 12.29}, {'product_id': 1770, 'quantity': 1, 'price': 3.83}, {'product_id': 1325, 'quantity': 4, 'price': 11.22}, {'product_id': 1881, 'quantity': 4, 'price': 0.1}]","61,4",FAC/2019/0041
"43485,4625",646,"[{'product_id': 1274, 'quantity': 1, 'price': 40.87}, {'product_id': 866, 'quantity': 4, 'price': 77.96}]","352,71",FAC/2019/0042
"43486,4118055556",689,"[{'product_id': 295, 'quantity': 3, 'price': 315.65}]","946,95",FAC/2019/0043
"43487,0986111111",684,"[{'product_id': 37, 'quantity': 3, 'price': 29.81}, {'product_id': 958, 'quantity': 1, 'price': 18.13}]","107,56",FAC/2019/0044
"43488,0145833333",664,"[{'product_id': 1123, 'quantity': 2, 'price': 27.37}, {'product_id': 686, 'quantity': 1, 'price': 12.18}, {'product_id': 765, 'quantity': 1, 'price': 494.68}]","561,6",FAC/2019/0045
"43488,3993055556",279,"[{'product_id': 1810, 'quantity': 4, 'price': 2.37}, {'product_id': 1432, 'quantity': 2, 'price': 39.72}, {'product_id': 890, 'quantity': 2, 'price': 31.24}, {'product_id': 482, 'quantity': 1, 'price': 24.25}]","175,65",FAC/2019/0046
"43488,8125",550,"[{'product_id': 1715, 'quantity': 4, 'price': 15.65}, {'product_id': 1335, 'quantity': 4, 'price': 30.06}, {'product_id': 656, 'quantity': 3, 'price': 24.47}, {'product_id': 1950, 'quantity': 2, 'price': 23.0}]","302,25",FAC/2019/0047
"43488,9097222222",412,"[{'product_id': 720, 'quantity': 3, 'price': 452.37}]","1357,11",FAC/2019/0048
"43489,3597222222",365,"[{'product_id': 585, 'quantity': 2, 'price': 14.93}]","29,86",FAC/2019/0049
"43491,0979166667",428,"[{'product_id': 1706, 'quantity': 1, 'price': 13.31}, {'product_id': 324, 'quantity': 4, 'price': 8.09}]","45,67",FAC/2019/0050
"43491,1305555556",8,"[{'product_id': 1482, 'quantity': 1, 'price': 594.75}, {'product_id': 336, 'quantity': 2, 'price': 30.05}, {'product_id': 1888, 'quantity': 1, 'price': 153.96}, {'product_id': 815, 'quantity': 4, 'price': 45.22}]","989,69",FAC/2019/0051
"43491,1680555556",323,"[{'product_id': 1744, 'quantity': 2, 'price': 26.3}, {'product_id': 302, 'quantity': 3, 'price': 24.07}, {'product_id': 1043, 'quantity': 2, 'price': 109.64}, {'product_id': 1640, 'quantity': 1, 'price': 11.55}, {'product_id': 1245, 'quantity': 2, 'price': 7.71}]","371,06",FAC/2019/0052
"43492,3298611111",305,"[{'product_id': 1682, 'quantity': 4, 'price': 18.75}, {'product_id': 1649, 'quantity': 3, 'price': 17.65}, {'product_id': 361, 'quantity': 3, 'price': 6.96}, {'product_id': 914, 'quantity': 2, 'price': 0.6}]","150,03",FAC/2019/0053
"43492,5097222222",777,"[{'product_id': 1588, 'quantity': 1, 'price': 21.66}, {'product_id': 1595, 'quantity': 1, 'price': 20.87}]","42,53",FAC/2019/0054
"43492,7798611111",804,"[{'product_id': 863, 'quantity': 1, 'price': 8.91}]","8,91",FAC/2019/0055
"43493,6166666667",494,"[{'product_id': 1555, 'quantity': 2, 'price': 61.93}, {'product_id': 796, 'quantity': 3, 'price': 41.55}]","248,51",FAC/2019/0056
"43493,7569444444",198,"[{'product_id': 44, 'quantity': 1, 'price': 34.2}, {'product_id': 1020, 'quantity': 4, 'price': 125.92}, {'product_id': 1915, 'quantity': 4, 'price': 105.82}]","961,16",FAC/2019/0057
"43493,79375",908,"[{'product_id': 1996, 'quantity': 3, 'price': 54.77}]","164,31",FAC/2019/0058
"43493,8298611111",856,"[{'product_id': 1508, 'quantity': 3, 'price': 35.96}, {'product_id': 1152, 'quantity': 2, 'price': 0.1}]","108,08",FAC/2019/0059
"43493,9236111111",344,"[{'product_id': 1610, 'quantity': 4, 'price': 36.86}, {'product_id': 953, 'quantity': 1, 'price': 29.04}, {'product_id': 180, 'quantity': 4, 'price': 14.07}, {'product_id': 885, 'quantity': 1, 'price': 11.51}]","244,27",FAC/2019/0060
"43494,0708333333",349,"[{'product_id': 1782, 'quantity': 4, 'price': 78.11}, {'product_id': 206, 'quantity': 1, 'price': 202.81}, {'product_id': 1845, 'quantity': 2, 'price': 31.61}]","578,47",FAC/2019/0061
"43494,4236111111",273,"[{'product_id': 896, 'quantity': 2, 'price': 20.82}, {'product_id': 1983, 'quantity': 1, 'price': 0.83}, {'product_id': 1826, 'quantity': 3, 'price': 12.33}]","79,46",FAC/2019/0062
"43494,4722222222",876,"[{'product_id': 1794, 'quantity': 2, 'price': 16.52}, {'product_id': 323, 'quantity': 4, 'price': 27.27}, {'product_id': 644, 'quantity': 1, 'price': 106.52}, {'product_id': 1333, 'quantity': 1, 'price': 19.64}, {'product_id': 166, 'quantity': 4, 'price': 48.6}]","462,68",FAC/2019/0063
"43494,6805555556",459,"[{'product_id': 1725, 'quantity': 3, 'price': 64.42}, {'product_id': 985, 'quantity': 3, 'price': 519.67}]","1752,27",FAC/2019/0064
"43494,9333333333",596,"[{'product_id': 1768, 'quantity': 4, 'price': 31.75}, {'product_id': 40, 'quantity': 2, 'price': 5.26}, {'product_id': 1255, 'quantity': 3, 'price': 80.92}, {'product_id': 179, 'quantity': 4, 'price': 102.0}]","788,28",FAC/2019/0065
"43495,0159722222",229,"[{'product_id': 781, 'quantity': 4, 'price': 416.18}, {'product_id': 1599, 'quantity': 1, 'price': 65.95}, {'product_id': 1126, 'quantity': 4, 'price': 336.94}]","3078,43",FAC/2019/0066
"43495,3513888889",158,"[{'product_id': 738, 'quantity': 3, 'price': 28.1}, {'product_id': 1688, 'quantity': 3, 'price': 96.09}, {'product_id': 1250, 'quantity': 2, 'price': 10.93}, {'product_id': 1840, 'quantity': 1, 'price': 31.77}]","426,2",FAC/2019/0067
"43495,6430555556",949,"[{'product_id': 576, 'quantity': 1, 'price': 16.19}, {'product_id': 178, 'quantity': 3, 'price': 229.43}, {'product_id': 1323, 'quantity': 3, 'price': 112.85}]","1043,03",FAC/2019/0068
"43495,9430555556",614,"[{'product_id': 360, 'quantity': 2, 'price': 43.69}]","87,38",FAC/2019/0069
"43496,5145833333",426,"[{'product_id': 1521, 'quantity': 3, 'price': 48.45}, {'product_id': 1189, 'quantity': 4, 'price': 158.55}]","779,55",FAC/2019/0070
"43497,3256944444",512,"[{'product_id': 116, 'quantity': 3, 'price': 219.25}, {'product_id': 1273, 'quantity': 2, 'price': 95.48}]","848,71",FAC/2019/0071
"43497,8881944444",961,"[{'product_id': 1693, 'quantity': 1, 'price': 55.3}, {'product_id': 271, 'quantity': 3, 'price': 442.59}, {'product_id': 92, 'quantity': 1, 'price': 72.93}, {'product_id': 205, 'quantity': 4, 'price': 176.72}]","2162,88",FAC/2019/0072
